name,rating,location,niche_grade,acceptance_rate (%),net_price ($),SAT_range,city,state,SAT_low,SAT_high,SAT_average,state_full,state_lat,state_lng,city_lat,city_lng,college_lat,college_lng
Massachusetts Institute of Technology,1,"Cambridge, MA",A+,7,20465.0,1510-1570,Cambridge,MA,1510.0,1570.0,1540.0,Massachusetts,42.407211,-71.382437,42.3736158,-71.10973349999999,42.360091,-71.09416
Harvard University,2,"Cambridge, MA",A+,5,18030.0,1460-1570,Cambridge,MA,1460.0,1570.0,1515.0,Massachusetts,42.407211,-71.382437,42.3736158,-71.10973349999999,42.3770029,-71.11666009999999
Stanford University,3,"Stanford, CA",A+,4,16779.0,1440-1570,Stanford,CA,1440.0,1570.0,1505.0,California,36.778261,-119.417932,37.42410599999999,-122.1660756,37.4274745,-122.169719
Yale University,4,"New Haven, CT",A+,6,18073.0,1460-1570,New Haven,CT,1460.0,1570.0,1515.0,Connecticut,41.603221,-73.087749,41.308274,-72.9278835,41.3163244,-72.92234309999999
Princeton University,5,"Princeton, NJ",A+,6,18712.0,1460-1570,Princeton,NJ,1460.0,1570.0,1515.0,New Jersey,40.058324,-74.405661,40.3572976,-74.6672226,40.3430942,-74.65507389999999
Duke University,6,"Durham, NC",A+,8,24386.0,1480-1570,Durham,NC,1480.0,1570.0,1525.0,North Carolina,35.759573,-79.0193,35.9940329,-78.898619,36.0014258,-78.9382286
Rice University,7,"Houston, TX",A+,9,20335.0,1470-1570,Houston,TX,1470.0,1570.0,1520.0,Texas,31.968599,-99.901813,29.7604267,-95.3698028,29.7173941,-95.4018312
Brown University,8,"Providence, RI",A+,7,27218.0,1440-1570,Providence,RI,1440.0,1570.0,1505.0,Rhode Island,41.580095,-71.477429,41.8239891,-71.4128343,41.8267718,-71.4025482
University of Pennsylvania,9,"Philadelphia, PA",A+,8,24771.0,1450-1560,Philadelphia,PA,1450.0,1560.0,1505.0,Pennsylvania,41.203322,-77.194525,39.9525839,-75.1652215,39.9522188,-75.1932137
Dartmouth College,10,"Hanover, NH",A+,8,23869.0,1440-1560,Hanover,NH,1440.0,1560.0,1500.0,New Hampshire,43.193852,-71.572395,43.7022451,-72.2895526,43.7044406,-72.2886935
Columbia University,11,"New York, NY",A+,5,21828.0,1440-1570,New York,NY,1440.0,1570.0,1505.0,New York,43.299428,-74.217933,40.7127753,-74.0059728,40.8075355,-73.9625727
Washington University in St. Louis,12,"St. Louis, MO",A+,14,27108.0,1480-1560,St. Louis,MO,1480.0,1560.0,1520.0,Missouri,37.964253,-91.831833,38.6270025,-90.1994042,38.6487895,-90.3107962
Vanderbilt University,13,"Nashville, TN",A+,9,25855.0,1460-1560,Nashville,TN,1460.0,1560.0,1510.0,Tennessee,35.517491,-86.580447,36.1626638,-86.7816016,36.1447034,-86.8026551
Northwestern University,14,"Evanston, IL",A+,9,26196.0,1440-1550,Evanston,IL,1440.0,1550.0,1495.0,Illinois,40.633125,-89.398528,42.0450722,-87.68769689999999,42.0564594,-87.67526699999999
University of Chicago,15,"Chicago, IL",A+,6,34719.0,1500-1570,Chicago,IL,1500.0,1570.0,1535.0,Illinois,40.633125,-89.398528,41.8781136,-87.6297982,41.7886079,-87.5987133
University of Southern California,16,"Los Angeles, CA",A+,11,37521.0,1360-1530,Los Angeles,CA,1360.0,1530.0,1445.0,California,36.778261,-119.417932,34.0522342,-118.2436849,34.0223519,-118.285117
Cornell University,17,"Ithaca, NY",A+,11,28921.0,1400-1560,Ithaca,NY,1400.0,1560.0,1480.0,New York,43.299428,-74.217933,42.4439614,-76.5018807,42.4534492,-76.4735027
Pomona College,18,"Claremont, CA",A+,7,18500.0,1390-1540,Claremont,CA,1390.0,1540.0,1465.0,California,36.778261,-119.417932,34.0966764,-117.7197785,34.0977683,-117.7118837
University of Notre Dame,19,"Notre Dame, IN",A+,16,30536.0,1400-1550,Notre Dame,IN,1400.0,1550.0,1475.0,Indiana,40.551217,-85.602364,41.7001908,-86.23793280000001,41.6991133,-86.2387627
California Institute of Technology,20,"Pasadena, CA",A+,6,27438.0,1530-1560,Pasadena,CA,1530.0,1560.0,1545.0,California,36.778261,-119.417932,34.1477849,-118.1445155,34.1376576,-118.125269
Carnegie Mellon University,21,"Pittsburgh, PA",A+,15,30618.0,1460-1560,Pittsburgh,PA,1460.0,1560.0,1510.0,Pennsylvania,41.203322,-77.194525,40.44062479999999,-79.9958864,40.4432027,-79.9428499
Johns Hopkins University,22,"Baltimore, MD",A+,11,28999.0,1460-1560,Baltimore,MD,1460.0,1560.0,1510.0,Maryland,39.045755,-76.641271,39.2903848,-76.6121893,39.3299013,-76.6205177
University of California - Los Angeles,23,"Los Angeles, CA",A+,12,15718.0,1300-1530,Los Angeles,CA,1300.0,1530.0,1415.0,California,36.778261,-119.417932,34.0522342,-118.2436849,34.068921,-118.4451811
Georgetown University,24,"Washington, DC",A+,14,28442.0,1380-1550,Washington,DC,1380.0,1550.0,1465.0,District of Columbia,38.905985,-77.033418,38.9071923,-77.0368707,38.9076089,-77.07225849999999
University of Michigan - Ann Arbor,25,"Ann Arbor, MI",A+,23,17357.0,1340-1530,Ann Arbor,MI,1340.0,1530.0,1435.0,Michigan,44.314844,-85.602364,42.2808256,-83.7430378,42.2780436,-83.7382241
Tufts University,26,"Medford, MA",A+,15,26280.0,1390-1540,Medford,MA,1390.0,1540.0,1465.0,Massachusetts,42.407211,-71.382437,42.4184296,-71.1061639,42.4085371,-71.1182729
Bowdoin College,27,"Brunswick, ME",A+,9,23808.0,1360-1510,Brunswick,ME,1360.0,1510.0,1435.0,Maine,45.253783,-69.445469,43.9140162,-69.966996,43.9076929,-69.9639971
Washington and Lee University,28,"Lexington, VA",A+,19,23301.0,1360-1500,Lexington,VA,1360.0,1500.0,1430.0,Virginia,37.431573,-78.656894,37.78402080000001,-79.4428157,37.7898776,-79.4458935
University of Virginia,29,"Charlottesville, VA",A+,24,17579.0,1340-1520,Charlottesville,VA,1340.0,1520.0,1430.0,Virginia,37.431573,-78.656894,38.0293059,-78.47667810000002,38.0335529,-78.5079772
Georgia Institute of Technology,30,"Atlanta, GA",A+,21,16883.0,1300-1510,Atlanta,GA,1300.0,1510.0,1405.0,Georgia,32.157435,-82.907123,33.7489954,-84.3879824,33.7756178,-84.39628499999999
Claremont McKenna College,31,"Claremont, CA",A+,10,24456.0,1360-1510,Claremont,CA,1360.0,1510.0,1435.0,California,36.778261,-119.417932,34.0966764,-117.7197785,34.1006868,-117.7065073
Middlebury College,32,"Middlebury, VT",A+,15,23367.0,1360-1530,Middlebury,VT,1360.0,1530.0,1445.0,Vermont,44.558803,-72.577841,44.0153371,-73.16734,44.0081076,-73.1760413
Harvey Mudd College,33,"Claremont, CA",A+,14,39411.0,1490-1570,Claremont,CA,1490.0,1570.0,1530.0,California,36.778261,-119.417932,34.0966764,-117.7197785,34.1060906,-117.7086431
Haverford College,34,"Haverford, PA",A+,16,22837.0,1380-1540,Haverford,PA,1380.0,1540.0,1460.0,Pennsylvania,41.203322,-77.194525,39.9877992,-75.30623260000002,40.00744230000001,-75.3051299
Emory University,35,"Atlanta, GA",A+,16,25942.0,1360-1530,Atlanta,GA,1360.0,1530.0,1445.0,Georgia,32.157435,-82.907123,33.7489954,-84.3879824,33.7971368,-84.32224
Swarthmore College,36,"Swarthmore, PA",A+,9,19759.0,1380-1540,Swarthmore,PA,1380.0,1540.0,1460.0,Pennsylvania,41.203322,-77.194525,39.9020565,-75.3499123,39.9038329,-75.3526559
United States Military Academy at West Point,37,"West  Point, NY",A+,12,,1160-1380,West  Point,NY,1160.0,1380.0,1270.0,New York,43.299428,-74.217933,41.3914827,-73.95597210000001,41.3918372,-73.9625033
Barnard College,38,"New York, NY",A+,12,26649.0,1340-1520,New York,NY,1340.0,1520.0,1430.0,New York,43.299428,-74.217933,40.7127753,-74.0059728,40.8094844,-73.963487
Wellesley College,39,"Wellesley, MA",A+,22,19805.0,1360-1530,Wellesley,MA,1360.0,1530.0,1445.0,Massachusetts,42.407211,-71.382437,42.296797,-71.29238769999999,42.2935733,-71.3059277
Hamilton College,40,"Clinton, NY",A+,16,29117.0,1370-1520,Clinton,NY,1370.0,1520.0,1445.0,New York,43.299428,-74.217933,43.0484029,-75.3785034,43.0527984,-75.4059719
Carleton College,41,"Northfield, MN",A+,19,31547.0,1360-1540,Northfield,MN,1360.0,1540.0,1450.0,Minnesota,46.729553,-94.6859,44.4582983,-93.161604,44.4613633,-93.1559742
New York University,42,"New York, NY",A+,16,37739.0,1350-1530,New York,NY,1350.0,1530.0,1440.0,New York,43.299428,-74.217933,40.7127753,-74.0059728,40.7294262,-73.9935958
Colgate University,43,"Hamilton, NY",A+,23,23503.0,1330-1500,Hamilton,NY,1330.0,1500.0,1415.0,New York,43.299428,-74.217933,42.8270136,-75.5446238,42.822465,-75.541671
Williams College,44,"Williamstown, MA",A+,13,17303.0,1410-1550,Williamstown,MA,1410.0,1550.0,1480.0,Massachusetts,42.407211,-71.382437,42.7120196,-73.20368979999999,42.7128843,-73.20313949999999
Wake Forest University,45,"Winston-Salem, NC",A+,30,24800.0,1270-1410,Winston-Salem,NC,1270.0,1410.0,1340.0,North Carolina,35.759573,-79.0193,36.09985959999999,-80.244216,36.1355052,-80.2791958
Boston College,46,"Chestnut Hill, MA",A+,27,28354.0,1340-1500,Chestnut Hill,MA,1340.0,1500.0,1420.0,Massachusetts,42.407211,-71.382437,42.3328668,-71.1727583,42.3355488,-71.16849450000001
University of North Carolina at Chapel Hill,47,"Chapel Hill, NC",A+,23,10085.0,1310-1500,Chapel Hill,NC,1310.0,1500.0,1405.0,North Carolina,35.759573,-79.0193,35.9131996,-79.0558445,35.9049122,-79.0469134
University of Florida,48,"Gainesville, FL",A+,37,10457.0,1310-1470,Gainesville,FL,1310.0,1470.0,1390.0,Florida,27.664827,-81.515754,29.6516344,-82.32482619999999,29.6436325,-82.3549302
University of California - Berkeley,49,"Berkeley, CA",A+,16,18522.0,1330-1530,Berkeley,CA,1330.0,1530.0,1430.0,California,36.778261,-119.417932,37.8715226,-122.273042,37.8718992,-122.2585399
Davidson College,50,"Davidson, NC",A+,18,27714.0,1310-1480,Davidson,NC,1310.0,1480.0,1395.0,North Carolina,35.759573,-79.0193,35.4993031,-80.8486846,35.5008018,-80.8446725
Northeastern University,51,"Boston, MA",A+,18,36479.0,1390-1540,Boston,MA,1390.0,1540.0,1465.0,Massachusetts,42.407211,-71.382437,42.3600825,-71.0588801,42.3398067,-71.0891717
University of Texas - Austin,52,"Austin, TX",A+,32,15502.0,1230-1480,Austin,TX,1230.0,1480.0,1355.0,Texas,31.968599,-99.901813,30.267153,-97.7430608,30.2849185,-97.7340567
Wesleyan University,53,"Middletown, CT",A+,16,21853.0,1300-1480,Middletown,CT,1300.0,1480.0,1390.0,Connecticut,41.603221,-73.087749,41.5623209,-72.6506488,36.7174035,-95.953636
Boston University,54,"Boston, MA",A+,19,29479.0,1340-1510,Boston,MA,1340.0,1510.0,1425.0,Massachusetts,42.407211,-71.382437,42.3600825,-71.0588801,42.3504997,-71.1053991
Amherst College,55,"Amherst, MA",A+,11,16339.0,1310-1520,Amherst,MA,1310.0,1520.0,1415.0,Massachusetts,42.407211,-71.382437,42.3732216,-72.5198537,42.3709104,-72.5170028
William & Mary,56,"Williamsburg, VA",A+,38,18551.0,1320-1510,Williamsburg,VA,1320.0,1510.0,1415.0,Virginia,37.431573,-78.656894,37.2707022,-76.7074571,37.0412191,-95.6393167
University of Georgia,57,"Athens, GA",A+,45,15961.0,1240-1420,Athens,GA,1240.0,1420.0,1330.0,Georgia,32.157435,-82.907123,33.9519347,-83.357567,33.9480053,-83.3773221
Colby College,58,"Waterville, ME",A+,10,19592.0,1380-1520,Waterville,ME,1380.0,1520.0,1450.0,Maine,45.253783,-69.445469,44.5520105,-69.6317121,44.5638691,-69.6626362
University of Richmond,59,"University Of Richmond, VA",A+,28,25282.0,1290-1460,University Of Richmond,VA,1290.0,1460.0,1375.0,Virginia,37.431573,-78.656894,37.5739911,-77.5427156,37.5751669,-77.5407146
Grinnell College,60,"Grinnell, IA",A+,23,29404.0,1370-1530,Grinnell,IA,1370.0,1530.0,1450.0,Iowa,41.878003,-93.097702,41.74340919999999,-92.7232456,41.749223,-92.7201302
University of Miami,61,"Coral Gables, FL",A+,27,33102.0,1270-1440,Coral Gables,FL,1270.0,1440.0,1355.0,Florida,27.664827,-81.515754,25.7491968,-80.2635411,25.7178924,-80.2746368
Bates College,62,"Lewiston, ME",A+,12,26669.0,1385-1460,Lewiston,ME,1385.0,1460.0,1422.5,Maine,45.253783,-69.445469,44.100351,-70.21477639999999,44.1057216,-70.2021865
Macalester College,63,"St. Paul, MN",A+,32,31458.0,1320-1510,St. Paul,MN,1320.0,1510.0,1415.0,Minnesota,46.729553,-94.6859,44.9537029,-93.0899578,44.9379243,-93.1690746
Babson College,64,"Wellesley, MA",A+,26,28325.0,1270-1450,Wellesley,MA,1270.0,1450.0,1360.0,Massachusetts,42.407211,-71.382437,42.296797,-71.29238769999999,42.2964421,-71.2657077
University of Wisconsin,65,"Madison, WI",A+,54,16103.0,1300-1480,Madison,WI,1300.0,1480.0,1390.0,Wisconsin,43.78444,-88.787868,43.0730517,-89.4012302,43.076592,-89.4124875
Villanova University,66,"Villanova, PA",A+,28,36840.0,1320-1470,Villanova,PA,1320.0,1470.0,1395.0,Pennsylvania,41.203322,-77.194525,40.0375832,-75.3491813,40.0368926,-75.3425785
Lehigh University,67,"Bethlehem, PA",A+,32,26631.0,1280-1450,Bethlehem,PA,1280.0,1450.0,1365.0,Pennsylvania,41.203322,-77.194525,40.6259316,-75.37045789999999,40.6048687,-75.3775187
Virginia Tech,68,"Blacksburg, VA",A+,70,18449.0,1180-1390,Blacksburg,VA,1180.0,1390.0,1285.0,Virginia,37.431573,-78.656894,37.2295733,-80.4139393,37.22838429999999,-80.42341669999999
