location,city_lat,city_lng
"Cambridge, MA",42.3736158,-71.10973349999999
"Stanford, CA",37.42410599999999,-122.1660756
"New Haven, CT",41.308274,-72.9278835
"Princeton, NJ",40.3572976,-74.6672226
"Durham, NC",35.9940329,-78.898619
"Houston, TX",29.7604267,-95.3698028
"Providence, RI",41.8239891,-71.4128343
"Philadelphia, PA",39.9525839,-75.1652215
"Hanover, NH",43.7022451,-72.2895526
"New York, NY",40.7127753,-74.0059728
"St. Louis, MO",38.6270025,-90.19940419999999
"Nashville, TN",36.1626638,-86.7816016
"Evanston, IL",42.0450722,-87.68769689999999
"Chicago, IL",41.8781136,-87.6297982
"Los Angeles, CA",34.0522342,-118.2436849
"Ithaca, NY",42.4439614,-76.5018807
"Claremont, CA",34.0966764,-117.7197785
"Notre Dame, IN",41.7001908,-86.23793280000001
"Pasadena, CA",34.1477849,-118.1445155
"Pittsburgh, PA",40.44062479999999,-79.9958864
"Baltimore, MD",39.2903848,-76.6121893
"Washington, DC",38.9071923,-77.0368707
"Ann Arbor, MI",42.2808256,-83.7430378
"Medford, MA",42.4184296,-71.1061639
"Brunswick, ME",43.9140162,-69.966996
"Lexington, VA",37.78402080000001,-79.4428157
"Charlottesville, VA",38.0293059,-78.47667810000002
"Atlanta, GA",33.7489954,-84.3879824
"Middlebury, VT",44.0153371,-73.16734
"Haverford, PA",39.9877992,-75.30623260000002
"Swarthmore, PA",39.9020565,-75.3499123
"West  Point, NY",41.3914827,-73.95597210000001
"Wellesley, MA",42.296797,-71.29238769999999
"Clinton, NY",43.0484029,-75.3785034
"Northfield, MN",44.4582983,-93.161604
"Hamilton, NY",42.8270136,-75.5446238
"Williamstown, MA",42.7120196,-73.20368979999999
"Winston-Salem, NC",36.09985959999999,-80.244216
"Chestnut Hill, MA",42.3328668,-71.1727583
"Chapel Hill, NC",35.9131996,-79.0558445
"Gainesville, FL",29.6516344,-82.32482619999999
"Berkeley, CA",37.8715226,-122.273042
"Davidson, NC",35.4993031,-80.8486846
"Boston, MA",42.3600825,-71.0588801
"Austin, TX",30.267153,-97.7430608
"Middletown, CT",41.5623209,-72.6506488
"Amherst, MA",42.3732216,-72.5198537
"Williamsburg, VA",37.2707022,-76.7074571
"Athens, GA",33.9519347,-83.357567
"Waterville, ME",44.5520105,-69.6317121
"University Of Richmond, VA",37.5739911,-77.5427156
"Grinnell, IA",41.74340919999999,-92.7232456
"Coral Gables, FL",25.7491968,-80.2635411
"Lewiston, ME",44.100351,-70.21477639999999
"St. Paul, MN",44.9537029,-93.0899578
"Madison, WI",43.0730517,-89.4012302
"Villanova, PA",40.0375832,-75.3491813
"Bethlehem, PA",40.6259316,-75.37045789999999
"Blacksburg, VA",37.2295733,-80.4139393
"Easton, PA",40.688432,-75.2207323
"Urbana, IL",40.1105875,-88.2072697
"Cleveland, OH",41.49932,-81.6943605
"New Orleans, LA",29.95106579999999,-90.0715323
"Northampton, MA",42.3250896,-72.64120129999999
"Santa Barbara, CA",34.4208305,-119.6981901
"Rochester, NY",43.15657789999999,-77.6088465
"West Lafayette, IN",40.4258686,-86.90806549999999
"Gambier, OH",40.3756194,-82.3971038
"Poughkeepsie, NY",41.7003713,-73.9209701
"College Station, TX",30.627977,-96.3344068
"Tallahassee, FL",30.4382559,-84.28073289999999
"Irvine, CA",33.6845673,-117.8265049
"Worcester, MA",42.2625932,-71.8022934
"Lewisburg, PA",40.9645293,-76.8844101
"University Park, PA",40.8147955,-77.86531260000001
"Raleigh, NC",35.7795897,-78.6381787
"Saratoga Springs, NY",43.0831301,-73.7845651
"Dallas, TX",32.7766642,-96.79698789999999
"Columbus, OH",39.9611755,-82.99879419999999
"South Hadley, MA",42.2591729,-72.57479339999999
"Davis, CA",38.5449065,-121.7405167
"Santa Clara, CA",37.3541079,-121.9552356
"Golden, CO",39.755543,-105.2210997
"Provo, UT",40.2338438,-111.6585337
"Minneapolis, MN",44.977753,-93.2650108
"San Antonio, TX",29.4241219,-98.49362819999999
"Terre Haute, IN",39.4667034,-87.41390919999999
"Troy, NY",42.7284117,-73.69178509999999
"Seattle, WA",47.6062095,-122.3320708
"Clemson, SC",34.6834382,-82.8373654
"La Jolla, CA",32.8328112,-117.2712717
"Bryn Mawr, PA",40.0230237,-75.3151772
"Walla Walla, WA",46.0645809,-118.3430208
"Portland, OR",45.515232,-122.6783853
"College Park, MD",38.9896967,-76.93776
"East Lansing, MI",42.7369792,-84.48386540000001
"Lancaster, PA",40.0378755,-76.3055144
"Colorado Springs, CO",38.8338816,-104.8213634
"Waltham, MA",42.3764852,-71.2356113
"Fort Worth, TX",32.7554883,-97.3307658
"Malibu, CA",34.0259216,-118.7797571
"Hoboken, NJ",40.7439905,-74.0323626
"Tulsa, OK",36.1539816,-95.99277500000001
"Bloomington, IN",39.165325,-86.52638569999999
"Wheaton, IL",41.8661403,-88.1070127
"Gettysburg, PA",39.8309293,-77.2310955
"Houghton, MI",47.12113309999999,-88.5694182
"Greenville, SC",34.85261759999999,-82.3940104
"Tampa, FL",27.950575,-82.4571776
"Granville, OH",40.06811920000001,-82.51960369999999
"San Diego, CA",32.715738,-117.1610838
"Crawfordsville, IN",40.0411536,-86.87445160000001
"San Luis Obispo, CA",35.2827524,-120.6596156
"Stillwater, OK",36.1156071,-97.0583681
"New Brunswick, NJ",40.4862157,-74.4518188
"Harrisonburg, VA",38.4495688,-78.8689155
"Auburn, AL",32.6098566,-85.48078249999999
"Memphis, TN",35.1495343,-90.0489801
"Schenectady, NY",42.8142432,-73.9395687
"Carlisle, PA",40.2010241,-77.20027449999999
"Newark, DE",39.6837226,-75.74965720000002
"Waco, TX",31.549333,-97.1466695
"Salt Lake City, UT",40.7607793,-111.8910474
"Ames, IA",42.0307812,-93.63191309999999
"Orlando, FL",28.5383832,-81.3789269
"Iowa City, IA",41.6611277,-91.5301683
"Tempe, AZ",33.4255104,-111.9400054
"Conway, AR",35.0886963,-92.4421011
"Dayton, OH",39.7589478,-84.1916069
"Columbia, SC",34.0007104,-81.0348144
"Mississippi State, MS",33.4555279,-88.7903868
"Norman, OK",35.2225668,-97.4394777
"Storrs, CT",41.8084314,-72.24952309999999
"Syracuse, NY",43.0481221,-76.14742439999999
"Fairfield, CT",41.1408363,-73.2612615
"Longview, TX",32.5007037,-94.74048909999999
"Sarasota, FL",27.3364347,-82.53065269999999
"Pullman, WA",46.7297771,-117.1817377
"Des Moines, IA",41.5868353,-93.6249593
"Columbia, MO",38.9517053,-92.3340724
"Cincinnati, OH",39.1031182,-84.5120196
"Lubbock, TX",33.5778631,-101.8551665
"Milwaukee, WI",43.0389025,-87.9064736
"Orange, CA",33.7879139,-117.8531007
"Manhattan, KS",39.18360819999999,-96.57166939999999
"Long Beach, CA",33.7700504,-118.1937395
"Tucson, AZ",32.2226066,-110.9747108
"St. Peter, MN",44.3258932,-93.955691
"Hartford, CT",41.7658043,-72.6733723
"Miami, FL",25.7616798,-80.1917902
"Fayetteville, AR",36.0662419,-94.15785299999999
"Omaha, NE",41.2565369,-95.9345034
"Vestal, NY",42.0855898,-76.053575
"St. Petersburg, FL",27.7676008,-82.64029149999999
"Canton, NY",44.5956163,-75.1690942
"University, MS",34.3662492,-89.5379687
"Oxford, OH",39.5069974,-84.74523099999999
"Lincoln, NE",40.813616,-96.7025955
"Wooster, OH",40.8050565,-81.935143
"Buffalo, NY",42.88644679999999,-78.8783689
"Birmingham, AL",33.5185892,-86.8103567
"Tuscaloosa, AL",33.2098407,-87.56917349999999
"Sioux Falls, SD",43.5460223,-96.731265
"Oberlin, OH",41.2939386,-82.21737859999999
"Appleton, WI",44.2619309,-88.41538469999999
"Redmond, WA",47.6739881,-122.121512
"Point Lookout, MO",36.6185581,-93.239029
"Denver, CO",39.7392358,-104.990251
"Rapid City, SD",44.0805434,-103.2310149
"Boulder, CO",40.0149856,-105.2705456
"Spokane, WA",47.6587802,-117.4260465
"Lawrence, KS",38.9716689,-95.2352501
"Jackson, TN",35.6145169,-88.81394689999999
"Daytona Beach, FL",29.2108147,-81.0228331
"Laramie, WY",41.3113669,-105.5911007
"University Heights, OH",41.4978306,-81.53734560000001
"Richardson, TX",32.9483335,-96.7298519
