,name,rating,location,niche_grade,acceptance_rate (%),net_price ($),SAT_range,city,state,SAT_low,SAT_high,SAT_average
0,Massachusetts Institute of Technology,1,"CAMBRIDGE, MA",A+,7,20465,1510-1570,CAMBRIDGE, MA,1510,1570,1540.0
1,Harvard University,2,"CAMBRIDGE, MA",A+,5,18030,1460-1570,CAMBRIDGE, MA,1460,1570,1515.0
2,Stanford University,3,"STANFORD, CA",A+,4,16779,1440-1570,STANFORD, CA,1440,1570,1505.0
3,Yale University,4,"NEW HAVEN, CT",A+,6,18073,1460-1570,NEW HAVEN, CT,1460,1570,1515.0
4,Princeton University,5,"PRINCETON, NJ",A+,6,18712,1460-1570,PRINCETON, NJ,1460,1570,1515.0
5,Duke University,6,"DURHAM, NC",A+,8,24386,1480-1570,DURHAM, NC,1480,1570,1525.0
6,Rice University,7,"HOUSTON, TX",A+,9,20335,1470-1570,HOUSTON, TX,1470,1570,1520.0
7,Brown University,8,"PROVIDENCE, RI",A+,7,27218,1440-1570,PROVIDENCE, RI,1440,1570,1505.0
8,University of Pennsylvania,9,"PHILADELPHIA, PA",A+,8,24771,1450-1560,PHILADELPHIA, PA,1450,1560,1505.0
9,Dartmouth College,10,"HANOVER, NH",A+,8,23869,1440-1560,HANOVER, NH,1440,1560,1500.0
10,Columbia University,11,"NEW YORK, NY",A+,5,21828,1440-1570,NEW YORK, NY,1440,1570,1505.0
11,Washington University in St. Louis,12,"SAINT LOUIS, MO",A+,14,27108,1480-1560,SAINT LOUIS, MO,1480,1560,1520.0
12,Vanderbilt University,13,"NASHVILLE, TN",A+,9,25855,1460-1560,NASHVILLE, TN,1460,1560,1510.0
13,Northwestern University,14,"EVANSTON, IL",A+,9,26196,1440-1550,EVANSTON, IL,1440,1550,1495.0
14,University of Chicago,15,"CHICAGO, IL",A+,6,34719,1500-1570,CHICAGO, IL,1500,1570,1535.0
15,University of Southern California,16,"LOS ANGELES, CA",A+,11,37521,1360-1530,LOS ANGELES, CA,1360,1530,1445.0
16,Cornell University,17,"ITHACA, NY",A+,11,28921,1400-1560,ITHACA, NY,1400,1560,1480.0
17,Pomona College,18,"CLAREMONT, CA",A+,7,18500,1390-1540,CLAREMONT, CA,1390,1540,1465.0
18,University of Notre Dame,19,"NOTRE DAME, IN",A+,16,30536,1400-1550,NOTRE DAME, IN,1400,1550,1475.0
19,California Institute of Technology,20,"PASADENA, CA",A+,6,27438,1530-1560,PASADENA, CA,1530,1560,1545.0
20,Carnegie Mellon University,21,"PITTSBURGH, PA",A+,15,30618,1460-1560,PITTSBURGH, PA,1460,1560,1510.0
21,Johns Hopkins University,22,"BALTIMORE, MD",A+,11,28999,1460-1560,BALTIMORE, MD,1460,1560,1510.0
22,University of California - Los Angeles,23,"LOS ANGELES, CA",A+,12,15718,1300-1530,LOS ANGELES, CA,1300,1530,1415.0
23,Georgetown University,24,"WASHINGTON, DC",A+,14,28442,1380-1550,WASHINGTON, DC,1380,1550,1465.0
24,University of Michigan - Ann Arbor,25,"ANN ARBOR, MI",A+,23,17357,1340-1530,ANN ARBOR, MI,1340,1530,1435.0
25,Tufts University,26,"MEDFORD, MA",A+,15,26280,1390-1540,MEDFORD, MA,1390,1540,1465.0
26,Bowdoin College,27,"BRUNSWICK, ME",A+,9,23808,1360-1510,BRUNSWICK, ME,1360,1510,1435.0
27,Washington and Lee University,28,"LEXINGTON, VA",A+,19,23301,1360-1500,LEXINGTON, VA,1360,1500,1430.0
28,University of Virginia,29,"CHARLOTTESVILLE, VA",A+,24,17579,1340-1520,CHARLOTTESVILLE, VA,1340,1520,1430.0
29,Georgia Institute of Technology,30,"ATLANTA, GA",A+,21,16883,1300-1510,ATLANTA, GA,1300,1510,1405.0
30,Claremont McKenna College,31,"CLAREMONT, CA",A+,10,24456,1360-1510,CLAREMONT, CA,1360,1510,1435.0
31,Middlebury College,32,"MIDDLEBURY, VT",A+,15,23367,1360-1530,MIDDLEBURY, VT,1360,1530,1445.0
32,Harvey Mudd College,33,"CLAREMONT, CA",A+,14,39411,1490-1570,CLAREMONT, CA,1490,1570,1530.0
33,Haverford College,34,"HAVERFORD, PA",A+,16,22837,1380-1540,HAVERFORD, PA,1380,1540,1460.0
34,Emory University,35,"ATLANTA, GA",A+,16,25942,1360-1530,ATLANTA, GA,1360,1530,1445.0
35,Swarthmore College,36,"SWARTHMORE, PA",A+,9,19759,1380-1540,SWARTHMORE, PA,1380,1540,1460.0
36,United States Military Academy at West Point,37,"WEST  POINT, NY",A+,12,,1160-1380,WEST  POINT, NY,1160,1380,1270.0
37,Barnard College,38,"NEW YORK, NY",A+,12,26649,1340-1520,NEW YORK, NY,1340,1520,1430.0
38,Wellesley College,39,"WELLESLEY, MA",A+,22,19805,1360-1530,WELLESLEY, MA,1360,1530,1445.0
39,Hamilton College,40,"CLINTON, NY",A+,16,29117,1370-1520,CLINTON, NY,1370,1520,1445.0
40,Carleton College,41,"NORTHFIELD, MN",A+,19,31547,1360-1540,NORTHFIELD, MN,1360,1540,1450.0
41,New York University,42,"NEW YORK, NY",A+,16,37739,1350-1530,NEW YORK, NY,1350,1530,1440.0
42,Colgate University,43,"HAMILTON, NY",A+,23,23503,1330-1500,HAMILTON, NY,1330,1500,1415.0
